Symbol,Security,GICS Sector,GICS Sub-Industry,Total Revenue,Gross Profit,Operating Income,Net Income,EBITDA,Interest Expense,EBIT,Diluted EPS,Total Assets,Total Liabilities Net Minority Interest,Current Assets,Current Liabilities,Total Debt,Stockholders Equity,Inventory,Accounts Receivable,Operating Cash Flow,Capital Expenditure,Free Cash Flow,Revenue Growth (YoY),EPS Growth (YoY),Negative Equity Flag,Gross Margin,Operating Margin,Net Margin,ROE,ROA,Current Ratio,Quick Ratio,Debt-to-Equity,Debt-to-Assets,Interest Coverage Ratio,Asset Turnover,Receivables Turnover,Free Cash Flow Margin
MMM,3M,Industrials,Industrial Conglomerates,24948000000.0,9957000000.0,4791000000.0,3250000000.0,6467000000.0,946000000.0,5159000000.0,6.0,37733000000.0,32986000000.0,16387000000.0,9595000000.0,12602000000.0,4702000000.0,3661000000.0,3533000000.0,2306000000.0,-910000000.0,1396000000.0,0.0151780264496439,-0.2052980132450331,False,0.39911014911014914,0.19203944203944204,0.13027096360429694,0.6911952360697575,0.0861315029284711,1.7078686816050026,1.3263157894736841,2.6801361122926415,0.33397821535525934,5.453488372093023,0.6611719184798452,7.061420888763091,0.05595638928972262
AOS,A. O. Smith,Industrials,Building Products,3830200000.0,1487400000.0,728000000.0,546200000.0,813700000.0,13500000.0,728600000.0,3.848783,3142800000.0,1284800000.0,1291500000.0,862500000.0,192100000.0,1858000000.0,479300000.0,582300000.0,616800000.0,-70800000.0,546000000.0,0.003169115528666,0.0608965232662019,False,0.38833481280350896,0.19006840373870817,0.14260351939846483,0.29397201291711517,0.17379406898307243,1.4973913043478262,0.9416811594202898,0.10339074273412271,0.06112383861524755,53.97037037037037,1.2187221585847015,6.577709084664263,0.1425513028040311
ABT,Abbott Laboratories,Health Care,Health Care Equipment,44328000000.0,25009000000.0,8053000000.0,6524000000.0,12075000000.0,493000000.0,8959000000.0,3.72,86713000000.0,33942000000.0,25996000000.0,16496000000.0,13860000000.0,52130000000.0,6488000000.0,7929000000.0,9566000000.0,-2171000000.0,7395000000.0,0.0566865315852205,-0.5130890052356021,False,0.5641806533116765,0.18166847139505504,0.14717560007218913,0.12514866679455208,0.07523670037941255,1.5758971871968963,1.1825897187196897,0.26587377709572224,0.15983762526956743,18.17241379310345,0.5112036257539239,5.590616723420355,0.1668245804006497
ABBV,AbbVie,Health Care,Biotechnology,61160000000.0,42956000000.0,20091000000.0,4226000000.0,17629000000.0,2893000000.0,9490000000.0,2.36,133960000000.0,137188000000.0,29062000000.0,43289000000.0,67496000000.0,-3270000000.0,4951000000.0,12589000000.0,19030000000.0,-1214000000.0,17816000000.0,0.0856676252352043,-0.0125523012552302,True,0.7023544800523218,0.32849901896664485,0.06909744931327665,,0.03154673036727381,0.6713483794959458,0.5569775231583081,,0.5038518960883845,3.2803318354649154,0.4565541952821738,4.858209548018111,0.29130150425114454
ACN,Accenture,Information Technology,IT Consulting & Other Services,69672977000.0,22235401000.0,10840988000.0,7678433000.0,11867333000.0,228555000.0,10498948000.0,12.15,65394897000.0,33153930000.0,28900689000.0,20352097000.0,8182866000.0,31195446000.0,0.0,13065433000.0,11474399000.0,-600039000.0,10874360000.0,0.073602053264412,0.0620629370629371,False,0.31913952808418106,0.15559817402376822,0.11020675921455172,0.24613954870207658,0.11741639412628786,1.4200349477501015,1.4200349477501015,0.2623096332714717,0.1251300388163315,45.936199164314935,1.0654191717742134,5.332619056712471,0.15607715456166024
ADBE,Adobe Inc.,Information Technology,Application Software,23769000000.0,21218000000.0,8706000000.0,7130000000.0,9815000000.0,263000000.0,8997000000.0,16.7,29496000000.0,17873000000.0,10163000000.0,10200000000.0,6648000000.0,11623000000.0,0.0,2344000000.0,10031000000.0,-179000000.0,9852000000.0,0.1052778423622413,0.3511326860841424,False,0.8926753334174765,0.36627540073204595,0.2999705498758888,0.6134388712036479,0.2417276918904258,0.9963725490196078,0.9963725490196078,0.5719693710745934,0.22538649308380798,34.20912547528517,0.8058380797396257,10.140358361774744,0.41448946106272877
AMD,Advanced Micro Devices,Information Technology,Semiconductors,34639000000.0,17152000000.0,3694000000.0,4335000000.0,7275000000.0,131000000.0,4271000000.0,2.65,76926000000.0,13927000000.0,26947000000.0,9455000000.0,3847000000.0,62999000000.0,7920000000.0,6315000000.0,7709000000.0,-974000000.0,6735000000.0,0.3433779329067287,1.65,False,0.4951644100580271,0.10664280146655504,0.12514795461762754,0.06881061604152447,0.056352858591373525,2.850026441036489,2.012374405076679,0.0610644613406562,0.05000909965421314,32.603053435114504,0.4502898889842186,5.485193982581156,0.19443401945783653
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,12233000000.0,2211000000.0,1970000000.0,910000000.0,2939000000.0,1407000000.0,1482000000.0,1.26,51768000000.0,42663000000.0,6502000000.0,8492000000.0,29897000000.0,4063000000.0,612000000.0,1683000000.0,4306000000.0,-5929000000.0,-1623000000.0,-0.0036650920345333,-0.4661016949152542,False,0.1807406196354124,0.16103981034905585,0.07438894792773645,0.22397243416194929,0.01757842682738371,0.7656617993405558,0.6935939707960433,7.358355894659119,0.5775189306135065,1.0533049040511726,0.23630428063668676,7.268568033273915,-0.1326739148205673
AFL,Aflac,Financials,Life & Health Insurance,17355000000.0,,,3646000000.0,,220000000.0,4753000000.0,6.82,116470000000.0,86980000000.0,,,8409000000.0,29490000000.0,0.0,835000000.0,2555000000.0,,2555000000.0,-0.0926913425345044,-0.2917964693665628,False,,,0.2100835494093921,0.12363513055272973,0.03130419850605306,,,,0.07219884948913884,,0.14900832832489053,20.78443113772455,0.14721982137712475
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,6948000000.0,3643000000.0,1479000000.0,1303000000.0,1835000000.0,112000000.0,1547000000.0,4.57,12727000000.0,5986000000.0,4594000000.0,2347000000.0,3354000000.0,6741000000.0,1025000000.0,1487000000.0,1559000000.0,-407000000.0,1152000000.0,0.0672811059907834,0.0316027088036118,False,0.5243235463442717,0.21286701208981001,0.18753598157743234,0.19329476338822132,0.10238076530211361,1.9573924158500213,1.5206646783127398,0.4975522919448153,0.2635342185903984,13.8125,0.5459259841282313,4.672494956287828,0.16580310880829016
APD,Air Products,Materials,Industrial Gases,12037300000.0,3781300000.0,2889000000.0,-394500000.0,1337500000.0,214000000.0,-226700000.0,-1.77,41059500000.0,23709700000.0,5825800000.0,4218600000.0,18406200000.0,15024900000.0,776500000.0,1901200000.0,3256800000.0,-7022600000.0,-3765800000.0,-0.0052311455630299,-1.1030267753201397,False,0.3141319066568084,0.24000398760519387,-0.03277313018700207,-0.02625641435217539,-0.00960800789098747,1.3809794718627033,1.1969136680415304,1.225046422937923,0.4482811529609469,-1.0593457943925233,0.2931672329180823,6.3314222596255,-0.31284424247962583
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",12241000000.0,10155000000.0,2544000000.0,2511000000.0,2544000000.0,0.0,2544000000.0,1.03,22208000000.0,14009000000.0,18797000000.0,13649000000.0,2067000000.0,8199000000.0,0.0,186000000.0,4646000000.0,,4646000000.0,0.1025941271842911,-0.7493917274939172,False,0.8295890858589985,0.20782615799362797,0.20513029981210684,0.3062568605927552,0.11306736311239193,1.3771704886804894,1.3771704886804894,0.25210391511159896,0.09307456772334294,,0.5511977665706052,65.81182795698925,0.37954415488930643
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,4208175000.0,2480662000.0,628242000.0,452031000.0,1341775000.0,30759000.0,633164000.0,3.07,11479643000.0,6502272000.0,2286680000.0,967518000.0,5675388000.0,4977371000.0,0.0,577914000.0,1518765000.0,-819500000.0,699265000.0,0.0543718029408934,-0.0611620795107034,False,0.589486416320614,0.14929084460603467,0.10741734837548343,0.09081722057688688,0.039376747168879726,2.3634495688969093,2.3634495688969093,1.1402380895456659,0.4943871512380655,20.584674404239408,0.36657716620630104,7.281663015604398,0.16616823207209777
ALB,Albemarle Corporation,Materials,Specialty Chemicals,5142733000.0,668719000.0,67285000.0,-510628000.0,314256000.0,207651000.0,-344422000.0,-5.76,16374211000.0,6592750000.0,4008139000.0,1798044000.0,3296651000.0,9533365000.0,1179271000.0,593502000.0,1282267000.0,-589801000.0,692466000.0,-0.0436618995426521,0.4857142857142857,False,0.13003183326841972,0.013083510265845028,-0.09929117455640804,-0.053562199705979995,-0.031184891901050987,2.2291662495467297,1.5733029892483166,0.3458014038065258,0.20133189928968181,-1.6586580368021344,0.3140751636826959,8.665064313178389,0.13464941695398147
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2945175000.0,2022570000.0,555045000.0,-1429570000.0,360450000.0,226698000.0,-990028000.0,-8.44,34081835000.0,14925399000.0,939781000.0,2182600000.0,12761098000.0,15470070000.0,0.0,6672000.0,1414046000.0,,1414046000.0,-0.0342757629751851,-5.688888888888889,False,0.686740176729736,0.18845908986732537,-0.48539390698345597,-0.09240876091704821,-0.04194521803183426,0.4305786676440942,0.4305786676440942,0.8248894801380989,0.3744252033377898,-4.367166891635568,0.08641480131571554,441.4231115107914,0.48012291289991255
ALGN,Align Technology,Health Care,Health Care Supplies,4034964000.0,2711013000.0,585311000.0,410351000.0,822747000.0,0.0,585311000.0,5.65,6233693000.0,2184546000.0,2616562000.0,1920015000.0,114446000.0,4049147000.0,226343000.0,1101757000.0,593223000.0,-102445000.0,490778000.0,0.0089902205844843,0.0053380782918149,False,0.6718803439138491,0.1450597824416773,0.10169880078236138,0.10134257906665281,0.0658279129241687,1.3627820615984771,1.24489600341664,0.028264224539143675,0.01835926151640769,,0.6472830792276745,3.66229939995843,0.1216313206264046
ALLE,Allegion,Industrials,Building Products,4067300000.0,1838300000.0,859500000.0,643800000.0,1002600000.0,101000000.0,869400000.0,7.44,5223700000.0,3156100000.0,1391800000.0,755400000.0,1980100000.0,2067600000.0,519000000.0,437700000.0,783800000.0,-98100000.0,685700000.0,0.0782302104872488,0.0909090909090909,False,0.4519705947434416,0.21131954859489097,0.158286824183119,0.3113755078351712,0.1232459750751383,1.842467566851999,1.1554143500132381,0.9576804023989166,0.3790608189597412,8.607920792079208,0.7786243467274154,9.292437742746174,0.16858849851252675
LNT,Alliant Energy,Utilities,Electric Utilities,4362000000.0,1992000000.0,1025000000.0,810000000.0,1993000000.0,486000000.0,1147000000.0,3.14,24991000000.0,17657000000.0,1697000000.0,2123000000.0,12116000000.0,7334000000.0,288000000.0,129000000.0,1169000000.0,,1169000000.0,0.095704596834966,0.1672862453531599,False,0.45667125171939477,0.23498395231545163,0.1856946354883081,0.11044450504499591,0.0324116682005522,0.7993405558172397,0.6636834667922751,1.6520316334878646,0.4848145332319635,2.360082304526749,0.17454283542075147,33.81395348837209,0.2679963319578175
ALL,Allstate,Financials,Property & Casualty Insurance,67069000000.0,,,10282000000.0,,399000000.0,13555000000.0,38.06,119758000000.0,89169000000.0,,,7490000000.0,30610000000.0,0.0,19975000000.0,10110000000.0,-228000000.0,9882000000.0,0.0559552861528772,1.24014125956445,False,,,0.15330480549881464,0.3359032995753022,0.08585647722907865,,,,0.06254279463584896,,0.5600377427812756,3.357647058823529,0.14734079828236593
